superid,initial_coop,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
4411,P,0.393103448275862,580,4,200
4412,D,0.38974358974359,390,4,200
4413,NA,NA,NA,NA,200
4414,D,0.408602150537634,516.666666666667,4,200
4415,NA,NA,NA,NA,200
4416,D,0,200,2,200
4418,D,0,200,2,200
4419,NA,NA,NA,NA,1150
4500,C,0.351851851851852,675,5,1150
4501,D,0.325980392156863,318.75,8,200
4502,D,0.408602150537634,516.666666666667,7,200
4503,D,0.399399399399399,411.111111111111,8,200
4504,C,0.313186813186813,742.857142857143,7,1150
4505,C,0.393103448275862,580,7,1150
4506,D,0.351851851851852,675,11,200
4507,C,0.41044104410441,459.090909090909,10,200
4508,C,0.376984126984127,622.222222222222,8,200
4509,D,0.376984126984127,622.222222222222,8,1150
4510,C,0.351851851851852,675,5,200
4511,D,0.313186813186813,742.857142857143,7,1150
4512,C,0.351851851851852,675,2,1150
4513,D,0.38974358974359,390,9,200
4514,C,0,200,11,200
4515,D,0.351851851851852,675,11,1150
4516,D,0.407142857142857,437.5,10,200
4517,D,0.313186813186813,742.857142857143,8,1150
4518,D,0,200,6,200
4519,D,0.399399399399399,411.111111111111,9,200
4520,D,0.408602150537634,516.666666666667,12,1150
4522,C,0.407142857142857,437.5,9,200
4600,C,0.351851851851852,675,7,1150
4601,C,0.407142857142857,437.5,5,1150
4602,P,0.411255411255411,471.428571428571,7,200
4603,P,0,200,6,200
4604,C,0.400280898876405,556.25,5,200
4605,P,0.368217054263566,358.333333333333,4,200
4606,P,0.408602150537634,516.666666666667,4,1150
4609,C,0,200,4,200
4610,C,0.376984126984127,622.222222222222,12,200
4611,D,0.351851851851852,675,1,200
4612,D,0.368217054263566,358.333333333333,4,200
4613,P,0.407142857142857,437.5,7,200
4614,C,0.368217054263566,358.333333333333,7,200
4615,D,0.411255411255411,471.428571428571,7,1150
4616,C,0.393103448275862,580,5,200
