superid,initial_coop,inital_defect,initial_punish,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
2415,0,1,0,0.387529137529137,595.833333333333,10,1150
2417,0,1,0,0.351851851851852,675,9,1150
2418,1,0,0,0.351851851851852,675,6,1150
2419,0,0,1,0.400280898876405,556.25,6,200
2420,1,0,0,0.313186813186813,742.857142857143,11,200
2421,1,0,0,0.403030303030303,545.454545454545,13,1150
2422,0,0,1,0.387529137529137,595.833333333333,11,200
2423,0,1,0,0.351851851851852,675,9,200
2424,0,1,0,0.351851851851852,675,8,200
2500,1,0,0,0.351851851851852,675,4,200
2502,0,1,0,0.351851851851852,675,NA,1150
2503,0,1,0,0,200,4,200
2504,1,0,0,0.407142857142857,437.5,5,200
2505,0,1,0,0.368217054263566,358.333333333333,6,200
2506,1,0,0,0.408602150537634,516.666666666667,7,200
2507,0,1,0,0.38974358974359,390,6,200
2508,1,0,0,0.38974358974359,390,4,1150
2509,0,0,1,0.407142857142857,437.5,4,1150
2511,1,0,0,0.407142857142857,437.5,4,200
2512,0,1,0,0.368217054263566,358.333333333333,7,200
2513,1,0,0,0,200,5,200
2600,1,0,0,0.38974358974359,390,7,200
2601,1,0,0,0,200,3,200
2602,1,0,0,0.393103448275862,580,4,200
2603,1,0,0,0.296103896103896,770,5,200
2604,1,0,0,0.383193277310924,607.142857142857,7,200
2605,1,0,0,0.351851851851852,675,7,200
2606,1,0,0,0.393103448275862,580,6,1150
2607,0,1,0,0.393103448275862,580,7,200
2608,1,0,0,0.253333333333333,833.333333333333,5,1150
2609,1,0,0,0.322307039864292,727.777777777778,6,1150
2610,0,1,0,0.408602150537634,516.666666666667,6,1150
2611,0,1,0,0,1150,4,1150
2612,0,0,1,0.351851851851852,675,5,1150
2613,0,1,0,0.296103896103896,770,7,200
2614,0,1,0,0.351851851851852,675,5,1150
2701,0,1,0,0.407142857142857,437.5,2,200
2702,1,0,0,0.368217054263566,358.333333333333,6,200
2704,1,0,0,0.383193277310924,607.142857142857,7,200
2705,1,0,0,0.351851851851852,675,4,1150
2706,1,0,0,0.351851851851852,675,5,1150
2707,0,1,0,0.408602150537634,516.666666666667,3,1150
2708,1,0,0,0.408602150537634,516.666666666667,6,200
2709,0,1,0,0,200,2,200
2710,0,0,0,0,1150,NA,1150
2712,0,1,0,0.38974358974359,390,5,200
2713,1,0,0,0,200,3,200
2715,1,0,0,0.408602150537634,516.666666666667,3,1150
2800,0,1,0,0.407142857142857,437.5,4,200
2802,0,1,0,0,200,2,200
2803,0,1,0,0,200,2,200
2804,1,0,0,0.408602150537634,516.666666666667,7,200
2805,0,1,0,0.408602150537634,516.666666666667,5,200
2806,0,1,0,0.408602150537634,516.666666666667,5,200
